date,one,two,three,four,five,six,seven,eight,nine,ten,ele,binary,change_val
20161228,0.510010094,-2.459825306,-0.934629957,-1.442315251,-1.021182524,-1.058645649,-0.772921176,3.125098764,-1.280141503,-0.828829054,3.098472985,1,5.5
20170102,0.390346674,-0.534044613,0.176814731,0.757327323,-1.882381472,0.541535692,-1.303583147,3.60642398,0.72985375,0.456822276,-1.675594373,1,5
20170105,0.200969849,-0.391983344,0.605055881,0.748271709,1.07838597,-0.041199473,0.794157785,4.565458038,-0.79300684,0.574161369,1.394173192,0,-13
20170111,1.020794983,1.623684396,-0.446492871,1.096662382,0.214611862,1.285776797,1.60250995,4.301976421,5.112526958,0.415568477,-0.235469142,0,-1.5
20170117,-0.756106815,1.582052193,0.084731181,-0.275242917,-0.427109107,0.594101615,0.630712767,9.571495152,0.459350196,-0.099009654,-0.886457326,0,-14
20170120,-0.984636226,-0.209056671,-0.336340308,0.217185302,1.425947464,-0.749386301,0.020897629,8.474093015,-1.090583599,-0.120404695,0.371910166,0,-2
20170123,0.355322745,-1.040400426,-0.860437385,0.099546575,-0.580128048,-0.063587395,0.475470788,7.931705063,-0.380749585,-0.638295078,-2.166729328,0,-7
20170126,1.927595163,1.321725427,-0.28741643,0.281753794,-0.049510946,0.419061396,0.761447766,10.03406944,0.180996526,0.74048104,0.587236503,1,1
20170201,1.77999519,0.470227482,0.969727297,0.78476897,-0.005242771,1.267556581,2.298592838,11.83121179,1.275677755,0.109798156,2.574499896,0,-4
20170207,0.938061219,0.47690674,2.079102109,0.34401176,-0.097321084,-0.633040389,-0.017013566,8.016088344,-0.980838978,0.856267917,1.942307017,1,10
20170210,1.051205776,0.880537511,0.436104133,0.82729777,1.647851675,1.833857335,-1.359692788,10.08515006,0.740286948,-0.053337631,0.110632976,1,6
20170213,0.08301617,0.353296067,1.324559063,0.514095901,0.776004587,1.049845331,-0.919574854,9.863546375,1.448457859,0.235042519,1.3942455,1,0.5
20170216,-0.275630606,-1.599103108,-0.590086627,-0.584899668,-0.737126376,-1.495652179,0.568804461,6.652231037,-1.679812197,-0.721172735,-0.433995114,0,
20170222,0.458862604,0.214804762,0.070863247,-0.140625079,-0.627526022,-0.525994249,-0.214092683,11.72993313,-0.371647786,1.148500177,-0.494375786,0,-2.5
20170228,-0.367339533,0.892876143,-0.924547241,0.469764672,-0.528651001,0.383246179,0.239646802,9.766725759,-0.171221053,-0.801907252,-1.927440211,0,-4.5
20170303,0.159094494,-0.729054103,-2.254103472,-0.721864209,-2.163746689,-1.008030019,-0.330209102,9.016178311,-1.896698308,0.052897639,-1.521696916,1,12.5
20170306,-1.241544534,-0.907568611,-0.948688454,0.134658501,-0.575755954,-0.582155661,0.814999829,9.211449528,-0.814001721,-0.639087662,-0.097202002,0,-2
20170309,-2.379411667,-0.126952554,0.148236876,-0.834999726,0.311920844,-0.812636773,-0.345913845,8.126902344,-0.551191827,-0.326849114,-0.216447183,1,7.5
20170315,-0.024682007,0.258799471,-1.135472946,-1.028608418,-0.28371304,-0.214351197,-0.153962764,9.91042815,-0.521344125,1.01525478,-2.267790814,0,-3.5
20170321,-0.078940333,-0.416883818,0.573349886,0.528342218,-0.384432979,0.50011315,0.955039104,8.507665596,-1.156108069,1.25110753,0.981438351,1,1.5
20170324,-0.222753947,0.639664076,1.13141106,0.925518646,2.074792597,0.133747399,0.270133799,7.36498219,-0.250941301,0.42100325,1.353961051,1,1
20170327,-0.768411637,-1.666153411,0.156301606,-0.743359189,0.712002446,-0.757360642,-0.95329319,7.911229193,-0.685462346,-0.129971406,2.210773636,0,-14
20170330,-1.482130139,-0.133608106,0.106225119,0.02600921,0.004840132,-0.0879826,-0.461438903,7.177310527,0.388882725,-0.538177356,-0.857437734,1,4.4
20170405,0.56674947,0.003441801,-1.036636559,-0.540862287,-0.191548247,0.103776673,-0.15017359,10.49024965,0.370702016,-0.426981461,-0.536901166,1,3
20170411,0.221190066,0.212905471,0.260606948,0.096047583,-0.321242752,0.572484907,0.366387716,9.244869479,-0.247051543,-1.693781093,0.07883283,1,2.5
20170414,-0.588376951,-0.820451969,-0.956040424,-0.575975679,-0.454431323,-0.520028018,-1.12254928,8.002908651,-0.933863563,-0.3938486,-0.323916342,1,10.5
20170417,0.08637356,1.989963415,0.646668098,0.383515939,1.416645972,0.327495953,-0.227150609,9.794064839,-0.07060652,0.596800676,1.20985272,0,-4
